id;name;address;started_from;ending_in
1;bifurcated withdrawal Granite;PCI Dakota Designer;74184;4956
2;Account relationships;facilitate Nevada green;35824;23364
3;Small ubiquitous;vertical Strategist Direct;61365;78400
4;Lesotho visionary mobile;virtual;10725;36158
5;Robust;Sausages protocol deposit;96290;92135
6;virtual;quantifying value-added redundant;36105;5352
7;Saint;application back;70914;75116
8;Networked;Legacy Fresh;82658;18235
9;teal system;Pennsylvania deposit tan;80181;97588
10;deliver Buckinghamshire purple;Soft indexing;3853;91320
